city_ascii;lat;lng
Manama;262250;505775
Tallinn;594372;247453
Beirut;338869;355131
Cape Town;-339253;184239
Tirana;413289;198178
Sarajevo;438564;184131
Wellington;-412889;1747772
Banjul;134531;-165775
Halifax;446475;-635906
Canberra;-352931;1491269
Yamoussoukro;68161;-52742
Victoria;484283;-1233647
Nicosia;351725;333650
Windhoek;-225700;170836
Saint-Denis;-208789;554481
Porto-Novo;64972;26050
Sucre;-190475;-652600
Ljubljana;460514;145061
Nassau;250781;-773386
Bloemfontein;-291167;262167
Fort-de-France;146000;-610667
New Delhi;286139;772090
Gaborone;-246581;259122
Paramaribo;58522;-552039
Dili;-85536;1255783
Dodoma;-61731;357419
Georgetown;68058;-581508
Gibraltar;361333;-53500
Malabo;37500;87833
Suva;-181416;1784419
Noumea;-222758;1664580
Pristina;426633;211622
Male;41753;735089
Port Louis;-201644;575042
Podgorica;424413;192629
Willemstad;121080;-689350
Bern;469481;74475
Gitega;-34283;299250
Reykjavik;641467;-219400
Luxembourg;496117;61319
Papeete;-175334;-1495667
Praia;149180;-235090
Sri Jayewardenepura Kotte;69108;798878
Bridgetown;130975;-596167
Moroni;-116990;432560
Thimphu;274722;896361
Mbabane;-263208;311617
Honiara;-94319;1599556
Port of Spain;106667;-615167
Castries;140167;-609833
Putrajaya;29300;1016900
Cayenne;49330;-523300
Sao Tome;3361;67306
Port-Vila;-177333;1683167
Bandar Seri Begawan;48903;1149422
Monaco;437333;74167
Apia;-138333;-1717500
Tarawa;13382;1730176
Oranjestad;125186;-700358
Saint Helier;491858;-21100
Mamoudzou;-127794;452272
Majuro;70833;1713833
Douglas;541450;-44820
George Town;192866;-813744
Victoria;-46167;554500
Kingstown;131578;-612250
Andorra la Vella;425000;15000
Saint John's;171167;-618500
Nuku`alofa;-211333;-1752000
Nuuk;641814;-516942
Belmopan;172514;-887669
Roseau;153014;-613883
Basseterre;173000;-627333
Torshavn;620000;-67833
Road Town;184167;-646167
Pago Pago;-142740;-1707046
Grand Turk;214664;-711360
Marigot;180706;-630847
Palikir;69178;1581850
Funafuti;-85167;1792000
Vaduz;471410;95210
Lobamba;-264465;312064
Avarua;-212070;-1597710
Saint George's;120500;-617500
San Marino;439346;124473
Tifariti;261580;-105670
Philipsburg;180237;-630458
Capitol Hill;152137;1457546
Stanley;-517000;-578500
Hamilton;322942;-647839
Vatican City;419040;124530
Alofi;-190560;-1699210
Basse-Terre;160104;-617055
Hagta;134745;1447504
Jamestown;-159251;-57179
Brades;167928;-622106
Yaren;-5477;1669209
Gustavia;178958;-628508
Ngerulmud;75006;1346242
Saint-Pierre;467811;-561764
The Valley;182167;-630500
Mata-Utu;-132825;-1761736
Kingston;-290569;1679617
Longyearbyen;782167;156333
Adamstown;-250667;-1300833
Flying Fish Cove;-104167;1057167
King Edward Point;-542833;-365000
Bareilly;283640;794150
Quang Ha;159333;1082667
Domaa-Ahenkro;72833;-28833
Oklahoma City;354676;-975136
Xingcheng;241681;1156669
Dongtai;328534;1203037
Yingcheng;241878;1134042
Chiba;356073;1401064
Al Mijlad;110339;277400
Pekanbaru;5092;1014453
Luocheng;227645;1115745
Dnipro;484675;350400
Danyang;319948;1195750
Gode;59527;435516
Natal;-69838;-602699
Nada;195000;1095833
Zamboanga City;69042;1220761
Kirkuk;354667;443167
Bridgeport;411918;-731954
Naples;408333;142500
Wuchuan;214283;1107749
Huilong;318131;1216574
Morelia;197683;-1011894
Malaga;367194;-44200
Cebu City;103200;1237500
Al Mansurah;310500;313833
Coimbatore;110168;769558
Santo Domingo Este;184855;-698734
Setagaya;356466;1396532
Songnam;374333;1271500
Taishan;222486;1127850
Teresina;-50949;-428042
Solapur;176800;759200
Tangier;357767;-58039
Kermanshah;343142;470650
Krasnodar;450333;389667
Baidoa;31167;436500
Gaalkacyo;67697;474308
Anqiu;363619;1191072
Feicheng;361860;1167720
Seberang Jaya;54000;1004667
El Alto;-165047;-681633
Kitakyushu;338833;1308833
Meishan;341736;1128390
Khartoum North;156333;326333
Kisangani;5153;251911
Aguascalientes;218760;-1022960
Marrakech;316300;-80089
Donetsk;480028;378053
Trujillo;-81120;-790288
New Orleans;300687;-899288
Taihe;308706;1053784
Trichinopoly;107903;787047
Xin'an;343662;1183369
Taihecun;457680;1310063
Kashgar;394681;759938
Naucalpan de Juarez;194753;-992378
Cankaya;399244;328856
Santiago de Cuba;200217;-758294
Owerri;54833;70333
Padang;-9500;1003531
Qingzhou;366967;1184797
Lichuan;302965;1089378
Santiago del Estero;-277833;-642667
Daye;301003;1149699
Hengzhou;226896;1092674
Fort Worth;327817;-973474
Hartford;417661;-726834
Esenyurt;410470;286580
Campo Grande;-204839;-546150
Zhuanghe;396896;1229664
Bobo-Dioulasso;111833;-42833
Ad Dammam;264333;501000
Quzhou;289545;1188763
Lhasa;296534;911719
Jiaozhou;362481;1199625
Bunia;15667;302500
Taguig City;145200;1210500
Cancun;211606;-868475
Merida;209700;-896200
Yangchun;221717;1117846
Dengtalu;361386;1141066
Moradabad;288389;787769
Antipolo;145842;1211763
Abeokuta;71608;33483
Bucheon;375000;1267833
Zhoushan;299887;1222049
Tiruppur;111085;773411
Natal;-57833;-352000
Chihuahua;286353;-1060889
Klang;30333;1014500
As Sulaymaniyah;355572;454356
Gurgaon;284560;770290
Turin;450792;76761
Tucson;321541;-1108787
Hai'an;325320;1204604
Ar Ramadi;334258;432992
Laiyang;369758;1207136
Sale;340333;-68000
Jalandhar;312569;754432
Marseille;432964;53700
Bucaramanga;71333;-730000
Kaifeng Chengguanzhen;348519;1143481
Ikeja;66186;33426
Eskisehir;397767;305206
Saltillo;254231;-1009919
Gaomi;363833;1197500
Liverpool;534075;-29919
Ipoh;45972;1010750
Oran;356969;-6331
Portsmouth;508058;-10872
Southampton;509025;-14042
Hermosillo;290989;-1109542
Cochabamba;-173833;-661667
Weichanglu;371792;1199333
Shache;384261;772500
Wuxi;265895;1118481
Leping;289632;1171203
Hailun;474585;1269632
Macheng;311817;1150189
Akure;72500;51950
Ilorin;85000;45500
Yuci;376823;1127281
Saratov;515333;460167
Erbil;361912;440092
Iguacu;-227400;-434700
Pasig City;145750;1210833
Dehui;445333;1257000
Kalkaji Devi;285485;772513
Bhubaneshwar;202700;858400
Honolulu;213294;-1578460
Tongchuan;349057;1089422
Cheongju;366333;1274833
Chengxiang;314515;1211043
Thessaloniki;406403;229347
Warri;55167;57500
Sakai;345733;1354831
Pointe-Noire;-48000;118500
Rongjiawan;291409;1131087
Mediouna;334500;-75100
Butterworth;53992;1003639
Renqiu;387094;1161008
Xindi;298182;1134653
Bhayandar;192900;728500
Wu'an;366941;1141847
Sao Bernardo do Campo;-237000;-465500
Mandvi;193000;728500
Barinas;86333;-702000
Zijinglu;347513;1129854
Gaoyou;327847;1194432
Culiacan;248069;-1073939
Hejian;384451;1160897
Yiyang;264103;1123913
Puxi;352125;1147350
Androtsy;-241000;463000
McAllen;262252;-982467
Qingping;345380;1133796
Omaha;412627;-960529
Joao Pessoa;-71200;-348800
Dongyang;292785;1202282
Queretaro;205875;-1003928
Krakow;500614;199372
George Town;54144;1003292
Abaete;-191583;-454522
Palermo;28917;-754375
Valencia;394700;-3764
Xigaze;292500;888833
El Paso;318476;-1064300
Seyhan;369831;353328
